login,experience_level,experience_score,span_months,active_months,total_prs_created,total_prs_reviewed,total_issues_created,total_volume,roles,diversity_score,span_normalized,regularity,volume_normalized
pereayats,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
javiergonzalez-synth,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
khaled65442,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
samveda-t,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
jorge-cab,Intermediate,0.5893232172807088,4.862023653088042,6,43,0,0,43,coder,0.3333333333333333,0.2883416458852868,1.0,0.15827444051825687
Tanvichovatiya,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
blazejkustra,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
pritjasani08,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
barryam3,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
ShivrajShelar99,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
lubieowoce,Initial,0.24730737588016843,5.946123521681997,2,2,0,0,2,coder,0.3333333333333333,0.33133191769788384,0.28793038214150585,0.007361601884570087
VaishnaviShirishBorkar,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
javache,Intermediate,0.48231712280900807,8.245729303547963,6,6,6,0,12,"coder,reviewer",0.6666666666666666,0.40728240410203154,0.6489482660602616,0.044169611307420524
kassens,Intermediate,0.5793588991343737,9.625492772667542,8,51,19,0,70,"coder,reviewer",0.6666666666666666,0.44509934982074495,0.7529062577294089,0.25765606595995305
lluisemper,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
ospira,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
stipsan,Initial,0.2744529016985149,8.902759526938238,3,4,0,0,4,coder,0.3333333333333333,0.42591312001005843,0.30294585987261147,0.014723203769140174
zekariasasaminew,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
ytahirkose,Intermediate,0.501472320376914,0.0,1,2,0,0,2,coder,0.3333333333333333,0,1.0,0.007361601884570087
sumimhasan,Intermediate,0.5514723203769141,0,1,1,0,1,2,"coder,reporter",0.6666666666666666,0,1.0,0.007361601884570087
ArnaudBarre,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
DarshanBhamare,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
andreisilviudragnea,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
ReNothingg,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
KimCookieYa,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
markoskatehis,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
dennyLuc,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
fluiderson,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Shrishti-18-03-2006,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
JeetuSuthar,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
amansoomro062,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Svetlana152025,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
wo-o29,Initial,0.2714022208092885,9.494086727989487,3,6,0,0,6,coder,0.3333333333333333,0.44170691447086874,0.2858752817430504,0.022084805653710262
inciarmors,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
iamsmruti,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
